sto,ocp
4.1656800e-01,1.1836922e-01
4.1963100e-01,1.1817831e-01
4.2269400e-01,1.1817831e-01
4.2575700e-01,1.1817831e-01
4.2882000e-01,1.1798739e-01
4.3188300e-01,1.1798739e-01
4.3494600e-01,1.1798739e-01
4.3800900e-01,1.1779647e-01
4.4107200e-01,1.1779647e-01
4.4413500e-01,1.1760555e-01
4.4719800e-01,1.1760555e-01
4.5026100e-01,1.1760555e-01
4.5332400e-01,1.1741463e-01
4.5638700e-01,1.1741463e-01
4.5945000e-01,1.1724148e-01
4.6251300e-01,1.1722372e-01
4.6557600e-01,1.1703280e-01
4.6863900e-01,1.1703280e-01
4.7170200e-01,1.1684188e-01
4.7476500e-01,1.1684188e-01
4.7782800e-01,1.1684188e-01
4.8089100e-01,1.1665096e-01
4.8395400e-01,1.1665096e-01
4.8701700e-01,1.1646004e-01
4.9008000e-01,1.1646004e-01
4.9314300e-01,1.1629529e-01
4.9620600e-01,1.1626913e-01
4.9926900e-01,1.1607821e-01
5.0233200e-01,1.1607821e-01
5.0539500e-01,1.1588729e-01
5.0845800e-01,1.1588729e-01
5.1152100e-01,1.1569637e-01
5.1458400e-01,1.1569637e-01
5.1764700e-01,1.1550545e-01
5.2071000e-01,1.1548676e-01
5.2377300e-01,1.1531454e-01
5.2683600e-01,1.1512362e-01
5.2989900e-01,1.1493270e-01
5.3296200e-01,1.1493270e-01
5.3602500e-01,1.1474178e-01
5.3908800e-01,1.1455086e-01
5.4215100e-01,1.1435994e-01
5.4521400e-01,1.1416903e-01
5.4827700e-01,1.1397811e-01
5.5134000e-01,1.1378719e-01
5.5440300e-01,1.1359627e-01
5.5746600e-01,1.1340535e-01
5.6052900e-01,1.1321444e-01
5.6359200e-01,1.1302352e-01
5.6665500e-01,1.1264168e-01
5.6971800e-01,1.1248073e-01
5.7278100e-01,1.1225985e-01
5.7584400e-01,1.1187801e-01
5.7890700e-01,1.1168709e-01
5.8197000e-01,1.1130526e-01
5.8503300e-01,1.1073250e-01
5.8809600e-01,1.1035066e-01
5.9115900e-01,1.0996883e-01
